日付,日経平均,当行株価,NYダウ,対米ドル,対ユーロ,日本国債10年,米国国債10年,WTI先物期近物
2022-04-01,27665.98,598,34818.27,122.64,135.57,0.22,2.39,99.27
2022-04-02,,,,,,,,
2022-04-03,,,,,,,,
2022-04-04,27736.47,594,34921.88,122.66,135.34,0.205,2.42,103.28
2022-04-05,27787.98,590,34641.18,122.91,134.98,0.21,0.254,101.96
2022-04-06,27350.3,582,34496.51,123.89,135.01,0.235,2.61,96.23
2022-04-07,26888.57,582,34583.57,123.77,134.89,0.23,2.66,96.03
2022-04-08,26985.8,583,34721.12,124.04,134.83,0.225,2.72,98.26
2022-04-09,,,,,,,,
2022-04-10,,,,,,,,
2022-04-11,26821.52,593,34308.08,125.26,136.67,0.235,2.79,94.29
2022-04-12,26334.98,595,34220.36,125.53,136.48,0.24,2.72,100.6
2022-04-13,26843.49,604,34564.59,126.06,136.66,0.235,2.7,104.25
2022-04-14,27172,606,34451.23,125.34,136.75,0.23,2.83,106.95
2022-04-15,27093.19,611,,126.48,136.75,0.24,,
2022-04-16,,,,,,,,
2022-04-17,,,,,,,,
2022-04-18,26799.71,617,34411.69,126.65,136.68,0.24,2.85,108.21
2022-04-19,26985.09,622,34911.2,128.08,138.36,0.25,2.93,102.56
2022-04-20,27217.85,638,35160.79,128.67,139.09,0.25,2.85,102.75
2022-04-21,27553.06,636,34792.76,128.03,139.93,0.245,2.9,103.79
2022-04-22,27105.26,635,33811.4,128.08,138.43,0.245,,102.07
2022-04-23,,,,,,,,
2022-04-24,,,,,,,,
2022-04-25,,,,128.21,137.69,,,
