日付,日経平均,当行株価,NYダウ,対米ドル,対ユーロ,日本国債10年,米国国債10年,WTI先物期近物
2022-02-01,27078.48,586.0,35405.24,114.95,129.51,0.180,1.81,88.20
2022-02-02,27533.60,605.0,35629.33,114.64,129.33,0.175,1.78,88.26
2022-02-03,27241.31,601.0,35111.16,114.59,129.48,0.175,1.82,90.27
2022-02-04,27439.99,614.0,35089.74,115.11,131.03,0.195,1.93,92.31
2022-02-05,,,,,,,,
2022-02-06,,,,,,,,
2022-02-07,27248.87,629.0,35091.13,115.27,131.80,0.200,1.92,91.32
2022-02-08,27284.52,638.0,35462.78,115.50,131.67,0.210,1.96,89.36
2022-02-09,27579.87,641.0,35768.06,115.42,131.69,0.205,1.94,89.66
2022-02-10,27696.08,637.0,35241.59,115.60,132.15,0.220,2.03,88.56
2022-02-11,,,34738.06,,,,1.92,93.10
2022-02-12,,,,,,,,
2022-02-13,,,,,,,,
2022-02-14,27079.59,642.0,34566.17,115.42,130.87,0.210,1.98,95.46
2022-02-15,26865.19,628.0,34988.84,115.35,130.52,0.215,2.05,92.07
2022-02-16,27460.40,648.0,34934.27,115.65,131.58,0.215,2.03,93.66
2022-02-17,27232.87,648.0,34312.03,115.31,131.19,0.225,1.97,91.76
2022-02-18,27122.07,640.0,34079.18,115.13,130.92,0.215,1.29,91.62
2022-02-19,,,,,,,,
2022-02-20,,,,,,,,
2022-02-21,26910.87,635.0,,,,0.205,,92.65
