日付,日経平均,当行株価,NYダウ,対米ドル,対ユーロ,日本国債10年,米国国債10年,WTI先物期近物
2022-01-01,,,,,,,,
2022-01-02,,,,,,,,
2022-01-03,,,36585.06,,,,1.63,76.08
2022-01-04,29301.79,583,36799.65,115.75,130.7,0.085,0.93,76.99
2022-01-05,29332.16,590,36407.11,116.04,131.15,0.095,0.96,77.85
2022-01-06,28487.87,585,36236.47,115.89,130.85,0.12,1.04,79.46
2022-01-07,28478.56,597,36231.66,115.9,131.04,0.145,1.08,78.9
2022-01-08,,,,,,,,
2022-01-09,,,,,,,,
2022-01-10,,,36068.87,,,,1.78,78.23
2022-01-11,28222.48,610,36252.02,115.27,130.75,0.15,1.15,81.22
2022-01-12,28765.66,613,36290.32,115.41,131.1,0.125,1.15,82.64
2022-01-13,28489.13,616,36113.62,114.42,131.19,0.13,1.1,82.12
2022-01-14,28124.28,611,35911.81,113.8,130.5,0.145,1.78,83.82
2022-01-15,,,,,,,,
2022-01-16,,,,,,,,
2022-01-17,28333.52,607,,114.41,130.73,0.135,1.87,83.69
2022-01-18,28257.25,604,35368.47,114.88,130.95,0.14,1.83,85.43
2022-01-19,27467.23,586,35028.65,114.43,129.68,0.14,1.1,86.96
2022-01-20,27772.93,583.0,34715.39,114.40,129.98,0.140,1.1,86.90
2022-01-21,27522.26,574.0,34265.37,113.87,128.02,0.130,1.12,85.14
2022-01-22,,,,,,,,
2022-01-23,,,,,,,,
2022-01-24,27588.37,586.0,34364.50,113.77,128.83,0.135,1.75,83.31
2022-01-25,27131.34,588.0,34297.73,113.89,128.75,0.135,1.05,85.60
2022-01-26,27011.33,583.0,34168.09,113.99,128.73,0.135,1.05,87.35
2022-01-27,26170.30,579.0,34160.78,114.78,128.55,0.155,1.04,86.61
2022-01-28,,,,,,,,
2022-01-29,,,,,,,,
